#Tempo(s)	Intensità (Un. Arb.)

89.67190000000001	3.344727
89.68752500000001	3.33252
89.68752500000001	3.356934
89.70315000000001	3.33252
89.70315000000001	3.344727
89.71877500000001	3.320312
89.71877500000001	3.320312
89.73440000000001	3.33252
89.73440000000001	3.283691
89.76565000000001	3.295898
89.76565000000001	3.283691
89.78127500000001	3.283691
89.78127500000001	3.283691
89.79690000000001	3.234863
89.79690000000001	3.271484
89.81252500000001	3.259277
89.82815000000001	3.24707
89.84377500000001	3.24707
89.84377500000001	3.24707
89.85940000000001	3.234863
89.85940000000001	3.24707
89.87502500000001	3.234863
89.87502500000001	3.234863
89.90627500000001	3.222656
89.90627500000001	3.210449
89.92190000000001	3.210449
89.92190000000001	3.222656
89.93752500000001	3.198242
89.93752500000001	3.210449
89.95315000000001	3.186035
89.96877500000001	3.198242
89.98440000000001	3.173828
89.98440000000001	3.186035
90.00002500000001	3.173828
90.00002500000001	3.173828
90.01565000000001	3.186035
90.03127500000001	3.173828
90.04690000000001	3.149414
90.04690000000001	3.161621
90.06252500000001	3.125
90.06252500000001	3.161621
90.07815000000001	3.125
90.07815000000001	3.149414
90.09377500000001	3.125
90.10940000000001	3.137207
90.12502500000001	3.112793
90.12502500000001	3.125
90.14065000000001	3.100586
90.14065000000001	3.125
90.15627500000001	3.100586
90.15627500000001	3.112793
90.18752500000001	3.088379
90.18752500000001	3.100586
90.20315000000001	3.076172
90.20315000000001	3.100586
90.21877500000001	3.063965
90.21877500000001	3.088379
90.23440000000001	3.063965
90.25002500000001	3.076172
90.26565000000001	3.051758
90.26565000000001	3.076172
90.28127500000001	3.039551
90.28127500000001	3.063965
90.29690000000001	3.027344
90.31252500000001	3.063965
90.31252500000001	3.027344
90.32815000000001	3.051758
90.34377500000001	3.027344
90.34377500000001	3.051758
90.35940000000001	3.015137
90.35940000000001	3.039551
90.37502500000001	3.015137
90.37502500000001	3.027344
90.40627500000001	3.00293
90.40627500000001	3.015137
90.42190000000001	3.00293
90.42190000000001	3.015137
90.43752500000001	2.990723
90.43752500000001	3.015137
90.45315000000001	2.978516
90.46877500000001	3.00293
90.48440000000001	2.978516
90.48440000000001	2.990723
90.50002500000001	2.954102
90.50002500000001	2.966309
90.51565000000001	2.966309
90.53127500000001	2.990723
90.54690000000001	2.91748
90.54690000000001	2.966309
90.56252500000001	2.856445
90.56252500000001	2.929687
90.57815000000001	2.844238
90.57815000000001	2.868652
90.59377500000001	2.868652
90.60940000000001	2.868652
90.62502500000001	2.856445
90.62502500000001	2.905273
90.64065000000001	2.844238
90.64065000000001	2.880859
90.65627500000001	2.856445
90.65627500000001	2.868652
90.67190000000001	2.868652
90.68752500000001	2.880859
90.70315000000001	2.832031
90.70315000000001	2.880859
90.71877500000001	2.844238
90.71877500000001	2.880859
90.73440000000001	2.844238
90.75002500000001	2.844238
90.76565000000001	2.832031
90.76565000000001	2.856445
90.78127500000001	2.844238
90.78127500000001	2.844238
90.79690000000001	2.819824
90.81252500000001	2.844238
90.81252500000001	2.819824
90.82815000000001	2.832031
90.84377500000001	2.819824
90.84377500000001	2.819824
90.85940000000001	2.819824
90.85940000000001	2.807617
91.90622500000001	2.819824
91.92185000000001	2.832031
91.93747500000001	2.807617
91.93747500000001	2.832031
91.95310000000001	2.807617
91.95310000000001	2.807617
91.96872500000001	2.807617
91.96872500000001	2.79541
91.98435000000001	2.79541
91.99997500000001	2.79541
92.01560000000001	2.79541
92.01560000000001	2.79541
92.03122500000001	2.783203
92.03122500000001	2.783203
92.04685000000001	2.770996
92.04685000000001	2.783203
92.07810000000001	2.758789
92.07810000000001	2.758789
92.09372500000001	2.758789
92.09372500000001	2.758789
92.10935000000001	2.758789
92.10935000000001	2.746582
92.12497500000001	2.758789
92.14060000000001	2.746582
92.15622500000001	2.746582
92.15622500000001	2.722168
92.17185000000001	2.746582
92.17185000000001	2.734375
92.18747500000001	2.758789
92.18747500000001	2.734375
92.21872500000001	2.746582
92.21872500000001	2.709961
92.23435000000001	2.734375
92.23435000000001	2.722168
92.24997500000001	2.734375
92.24997500000001	2.697754
92.26560000000001	2.722168
92.28122500000001	2.697754
92.29685000000001	2.709961
92.29685000000001	2.722168
92.31247500000001	2.709961
92.31247500000001	2.709961
92.32810000000001	2.709961
92.32810000000001	2.685547
92.34372500000001	2.722168
92.35935000000001	2.661133
92.37497500000001	2.697754
92.37497500000001	2.67334
92.39060000000001	2.685547
92.39060000000001	2.67334
92.40622500000001	2.685547
92.42185000000001	2.661133
92.43747500000001	2.685547
92.43747500000001	2.661133
92.45310000000001	2.67334
92.45310000000001	2.636719
92.46872500000001	2.661133
92.46872500000001	2.636719
92.48435000000001	2.685547
92.49997500000001	2.636719
92.51560000000001	2.685547
